Price,Area,Bedrooms,WCs,District,Floors,Legal_status,Price_per_sqm,District_encoded,Month,Frontage_1,Frontage_0
5.0,21.0,3.0,3.0,quan-4,5.0,1.0,0.24,3,7,1,0
4.0,35.0,4.0,3.0,quan-4,3.0,1.0,0.11,3,7,0,1
6.29,31.0,9.0,5.0,quan-4,3.0,1.0,0.2,3,6,0,1
8.1,98.0,6.0,4.0,quan-4,5.0,0.0,0.08,3,6,0,0
3.9,24.0,3.0,3.0,quan-4,3.0,1.0,0.16,3,6,0,1
2.35,60.0,2.0,2.0,quan-4,2.0,1.0,0.04,3,6,0,0
5.6,36.0,4.0,4.0,quan-4,5.0,0.0,0.16,3,6,0,0
3.15,30.0,3.0,2.0,quan-4,2.0,0.0,0.1,3,5,1,0
2.5,14.0,2.0,3.0,quan-4,3.0,1.0,0.18,3,3,0,1
3.8,62.0,2.0,2.0,quan-4,5.0,1.0,0.06,3,3,1,0
3.85,62.0,2.0,2.0,quan-4,3.0,1.0,0.06,3,3,0,0
10.0,48.0,4.0,4.0,quan-4,3.0,1.0,0.21,3,3,1,0
5.0,30.0,3.0,3.0,quan-4,5.0,1.0,0.17,3,3,0,0
3.65,45.0,2.0,1.0,quan-4,2.0,1.0,0.08,3,3,0,1
1.3,11.0,2.0,1.0,quan-4,3.0,1.0,0.12,3,3,0,1
14.0,64.0,2.0,3.0,quan-4,2.0,0.0,0.22,3,3,1,0
4.0,28.0,3.0,3.0,quan-4,3.0,1.0,0.14,3,3,0,1
7.0,87.0,4.0,5.0,quan-4,3.0,1.0,0.08,3,3,0,1
3.3,30.0,2.0,3.0,quan-4,3.0,1.0,0.11,3,3,0,1
8.9,46.0,4.0,2.0,quan-4,2.0,0.0,0.19,3,3,1,0
9.8,36.0,4.0,4.0,quan-4,5.0,1.0,0.27,3,3,1,0
3.95,26.0,2.0,3.0,quan-4,5.0,1.0,0.15,3,3,0,1
10.0,40.0,2.0,3.0,quan-4,3.0,1.0,0.25,3,3,1,0
5.3,21.0,4.0,3.0,quan-4,5.0,0.0,0.25,3,3,0,1
13.5,44.0,4.0,4.0,quan-4,5.0,0.0,0.31,3,3,1,0
5.9,25.0,1.0,2.0,quan-4,2.0,1.0,0.24,3,3,0,1
7.5,71.0,6.0,8.0,quan-4,5.0,0.0,0.11,3,3,0,1
7.8,74.0,3.0,2.0,quan-4,3.0,0.0,0.11,3,3,0,0
8.2,40.6,4.0,4.0,quan-4,5.0,0.0,0.2,3,2,0,1
8.2,41.0,4.0,4.0,quan-4,3.0,1.0,0.2,3,2,0,1
8.2,80.0,4.0,4.0,quan-4,5.0,0.0,0.1,3,2,0,0
4.1,54.7,4.0,3.0,quan-4,3.0,0.0,0.07,3,2,1,0
1.85,36.0,2.0,1.0,quan-4,2.0,1.0,0.05,3,1,0,1
7.35,41.0,3.0,2.0,quan-5,2.0,1.0,0.18,4,12,1,0
